Code 1,Code 2,Product Name,Brand,Original Price,After CK 1,After CK 2,Ngân Sách
64340182,64340182,LIFEBUOY Xà Bông Cục Sữa Dưỡng Ẩm 125g/72 bánh,LIFEBUOY,15.010,12.758,,
64355453,64355453,LIFEBUOY Xà Bông Cục Matcha & Khổ Qua 125g/72 bánh,LIFEBUOY,15.010,12.758,,
68173961,68173961,LIFEBUOY xà bông cục chăm sóc da 90g/72 bánh,LIFEBUOY,11.840,10.656,,
68173963,68173963,LIFEBUOY xà bông cục thiên nhiên 90g/72 bánh,LIFEBUOY,11.840,10.656,,
68173967,68173967,LIFEBUOY xà bông cục bảo vệ vượt trội 90g/72 bánh,LIFEBUOY,11.840,10.656,,
68173971,68173971,LIFEBUOY xà bông cục mát lạnh sảng khoái 90g/72 bánh,LIFEBUOY,11.840,10.656,,
68756001,68756001,LIFEBUOY Dầu gội dưỡng tóc óng ả 6gx12/60 dây,LIFEBUOY,8.000,6.800,6.800,
68509857,68509857,LIFEBUOY Dầu gội mềm mượt kháng khuẩn 6gx12/60 dây,LIFEBUOY,8.000,6.800,6.800,
69974715,69974715,LUX ST H.Pháp N.Nàn 570g (1 + LUX ST P.Lan Q.Rũ 350g)/12 bộ,LUX,136.000,119.680,,
69974713,69974713,LUX ST P.Lan Q.Rũ 570g (1 + LUX ST H.Pháp N.Nàn 350g)/12 bộ,LUX,136.000,119.680,,
69716307,69716307,LUX Sữa Tắm Botanicals Hương Phong Lan Quyến Rũ 570g/12 chai,LUX,136.000,115.600,,
69716309,69716309,LUX Sữa Tắm Botanicals Hương Hồng Pháp Nồng Nàn 570g/12 chai,LUX,136.000,115.600,,
69716311,69716311,LUX Sữa Tắm Botanicals Hương Lan Tiên &Tràm Trà 570g/12 chai,LUX,136.000,115.600,,
68590486,68590486,LUX sữa tắm botanical phong lan quyến rũ 12x6g/84 dây,LUX,10.900,8.720,,
68940329,68940329,OMO Nước Giặt CF Tinh Dầu Thơm Cửa Trên 3.7kg/4 chai,OMO,238.500,203.250,,
69598992,69598992,OMO Bột Giặt Đỏ 5.7kg/3 gói,OMO,244.800,197.800,,
62762380,62762380,OMO BG CFT H.Hồng DịuMát 5.3kg (1+1Omo NG SHTVượng 400g)/2bộ,OMO,244.800,197.800,,
69598967,69598967,OMO Bột Giặt CF H.Hoa Hồng Dịu Mát Bền Lâu 5.3kg/3 gói,OMO,244.800,197.800,,
69598977,69598977,OMO Bột Giặt CF Tinh Dầu Thơm Sang Trọng Bền Lâu 5.3kg/3 gói,OMO,244.800,197.800,,
69745575,69745575,OMO Nước Giặt Giữ Màu Cửa Trên 3.6kg/4 túi,OMO,203.900,173.764,173.764,
68940358,68940358,OMO Nước Giặt Cửa Trên 3.9kg/4 túi,OMO,203.900,173.764,173.764,
68940339,68940339,OMO Nước Giặt CF Hoa Hồng Ecuador 3.6kg/4 túi,OMO,203.900,173.764,173.764,
68940335,68940335,OMO Nước Giặt CF Tinh Dầu Thơm 3.6kg/4 túi,OMO,203.900,173.764,173.764,
68681024,68681024,OMO Nước Giặt Cho Quần Áo Bé Yêu 3.6kg/4 túi,OMO,202.000,172.144,172.144,
64346873,64346873,OMO NướcGiặt MG CửaTrước H.Hoa Oải Hương Thư Thái 3.6kg/4túi,OMO,202.000,172.144,172.144,
64346859,64346859,OMO Nước Giặt MG Cửa Trên Hoa Hồng Ecuador 3.6kg/4 túi,OMO,202.000,172.144,172.144,
64346845,64346845,OMO Nước Giặt MG Cửa Trên Sạch Sâu Vượt Trội 3.9kg/4 túi,OMO,202.000,172.144,172.144,
64346879,64346879,OMO Nước Giặt MG Cửa Trước Ngăn Ngừa Mùi Ẩm Mốc 3.6kg/4 túi,OMO,202.000,172.144,172.144,
64346867,64346867,OMO Nước Giặt MG Cửa Trước Giữ Màu 3.6kg/4 túi,OMO,202.000,172.144,172.144,
64346853,64346853,OMO Nước Giặt MG Cửa Trên Tinh Dầu N.Hoa Tinh Tế 3.6kg/4 túi,OMO,202.000,172.144,172.144,
69780250,69780250,OMO Nước Giặt Cửa Trước Ngăn Ngừa Mùi Ẩm Mốc 3.6kg/4 túi,OMO,199.601,170.100,170.100,
68728149,68728149,OMO Nước Giặt Bền Đẹp Cửa Trước 3.6kg/4 túi,OMO,199.601,170.100,170.100,
68728153,68728153,OMO Nước Giặt Khử Mùi Thơm Thư Thái Cửa Trước 3.6kg/4 túi,OMO,199.601,170.100,170.100,
69598990,69598990,OMO Bột Giặt Đỏ 4.3kg/3 gói,OMO,189.000,161.066,,90.051.037
69598965,69598965,OMO Bột Giặt CF H.Hoa Hồng Dịu Mát Bền Lâu 3.9kg/3 gói,OMO,189.000,161.066,,
69598975,69598975,OMO Bột Giặt CF Tinh Dầu Thơm Sang Trọng Bền Lâu 3.9kg/3 gói,OMO,189.000,161.066,,
68940353,68940353,OMO Nước Giặt Cửa Trên 3.1kg/4 túi,OMO,162.900,138.823,138.823,
68940341,68940341,OMO Nước Giặt Cửa Trên 2.7kg/4 chai,OMO,162.900,138.823,,
68940327,68940327,OMO Nước Giặt CF Tinh Dầu Thơm Cửa Trên 2.3kg/4 chai,OMO,162.900,138.823,,
68940331,68940331,OMO Nước Giặt CF Tinh Dầu Thơm 2.8kg/4 túi,OMO,162.900,138.823,138.823,
68909069,68909069,OMO NG MG cho quần áo bé yêu 2.8kg/4 túi,OMO,161.000,137.205,137.205,
68299324,68299324,OMO Nước Giặt Bền Đẹp Cửa Trước 2.3kg/4 chai,OMO,159.200,135.670,,
68909071,68909071,OMO Nước Giặt Bền Đẹp Cửa Trước 2.8kg/4 túi,OMO,159.200,135.670,135.670,
68909068,68909068,OMO Nước Giặt Khử Mùi Thơm Thư Thái Cửa Trước 2.8kg/4 túi,OMO,159.200,135.670,135.670,
69598994,69598994,OMO Bột Giặt Đỏ 2.9kg/4 gói,OMO,134.800,121.522,,
69598969,69598969,OMO Bột Giặt CF H.Hoa Hồng Dịu Mát Bền Lâu 2.6kg/4 gói,OMO,134.800,121.522,,
